date,level,longitude,latitude,speed,level_process,level_diff_process,state
2022/9/20 14:58,628,113.14007,23.07342,0.08,620.3333333,-4.555555556,1
2022/9/20 14:59,624,113.13987,23.07327,3.35,615.7777778,-4.555555556,1
2022/9/20 15:00,658,113.13981,23.07306,1.35,611.2222222,-4.555555556,1
2022/9/20 15:01,591,113.13973,23.07312,0.85,606.6666667,3.166666667,0
2022/9/20 15:02,589,113.13989,23.07326,2.01,609.8333333,3.166666667,0
2022/9/20 15:03,605,113.14058,23.07099,21.75,613,3.166666667,0
2022/9/20 15:04,639,113.13742,23.07046,25.06,616.1666667,7.722222222,0
2022/9/20 15:05,615,113.13829,23.07005,28.61,623.8888889,7.722222222,0
2022/9/20 15:06,628,113.14058,23.06731,29.77,631.6111111,7.722222222,0
2022/9/20 15:07,636,113.14072,23.06606,15.16,639.3333333,-1.777777778,0
2022/9/20 15:08,654,113.14078,23.06649,2.6,637.5555556,-1.777777778,0
2022/9/20 15:09,634,113.14078,23.06649,0,635.7777778,-1.777777778,0
2022/9/20 15:10,634,113.14078,23.06649,0,634,0,0
2022/9/20 15:11,634,113.14078,23.06649,0,634,0,0
2022/9/20 15:12,634,113.14078,23.06649,0.02,634,0,0
2022/9/20 15:13,634,113.14078,23.06649,0,634,0,0
2022/9/20 15:14,634,113.14078,23.06649,0,634,0,0
2022/9/20 15:15,634,113.14078,23.06649,0,634,0,0
2022/9/20 15:16,634,113.14078,23.06649,0,634,0.333333333,0
2022/9/20 15:17,634,113.14078,23.06649,0,634.3333333,0.333333333,0
2022/9/20 15:18,635,113.14078,23.06649,0,634.6666667,0.333333333,0
2022/9/20 15:19,635,113.14078,23.06649,0,635,0,0
2022/9/20 15:20,635,113.14078,23.06649,0,635,0,0
2022/9/20 15:21,635,113.14078,23.06649,0,635,0,0
2022/9/20 15:22,635,113.14078,23.06649,0,635,0,0
2022/9/20 15:23,635,113.14078,23.06649,0,635,0,0
2022/9/20 15:24,635,113.14083,23.06649,0.13,635,0,0
2022/9/20 15:25,635,113.14083,23.06649,0.02,635,0,0
2022/9/20 15:26,635,113.14083,23.06649,0,635,0,0
2022/9/20 15:27,635,113.14083,23.06649,0.03,635,0,0
2022/9/20 15:28,635,113.14083,23.06649,0,635,0,0
2022/9/20 15:29,635,113.14083,23.06649,0,635,0,0
2022/9/20 15:30,635,113.14083,23.06649,0.01,635,0,0
2022/9/20 15:31,635,113.14083,23.06649,0.03,635,0,0
2022/9/20 15:32,635,113.14083,23.06649,0,635,0,0
2022/9/20 15:33,635,113.14083,23.06649,0.05,635,0,0
2022/9/20 15:34,635,113.14083,23.06649,0,635,0,0
2022/9/20 15:35,635,113.14083,23.06649,0,635,0,0
2022/9/20 15:36,635,113.14083,23.06649,0,635,0,0
2022/9/20 15:37,635,113.14083,23.06649,0,635,-1.555555556,0
2022/9/20 15:38,635,113.14083,23.06649,0,633.4444444,-1.555555556,0
2022/9/20 15:39,635,113.14083,23.06649,0.02,631.8888889,-1.555555556,0
2022/9/20 15:40,628,113.14084,23.06654,0.65,630.3333333,-2.888888889,0
2022/9/20 15:41,628,113.14084,23.06654,0,627.4444444,-2.888888889,0
2022/9/20 15:42,628,113.14084,23.06654,0,624.5555556,-2.888888889,0
2022/9/20 15:43,624,113.14084,23.06654,0,621.6666667,-4.888888889,1
2022/9/20 15:44,613,113.14084,23.06654,0,616.7777778,-4.888888889,1
2022/9/20 15:45,608,113.14084,23.06654,0,611.8888889,-4.888888889,1
2022/9/20 15:46,607,113.14084,23.06654,0,607,-1.444444444,0
2022/9/20 15:47,606,113.14084,23.06654,0,605.5555556,-1.444444444,0
2022/9/20 15:48,604,113.14084,23.06654,0,604.1111111,-1.444444444,0
2022/9/20 15:49,603,113.14084,23.06654,0,602.6666667,-1.222222222,0
2022/9/20 15:50,601,113.14084,23.06654,0,601.4444444,-1.222222222,0
2022/9/20 15:51,600,113.14084,23.06654,0,600.2222222,-1.222222222,0
2022/9/20 15:52,599,113.14084,23.06654,0,599,-0.555555556,0
2022/9/20 15:53,598,113.14084,23.06654,0,598.4444444,-0.555555556,0
2022/9/20 15:54,597,113.14084,23.06654,0,597.8888889,-0.555555556,0
2022/9/20 15:55,598,113.14084,23.06654,0.02,597.3333333,-0.111111111,0
2022/9/20 15:56,597,113.14084,23.06654,0,597.2222222,-0.111111111,0
2022/9/20 15:57,597,113.14084,23.06654,0,597.1111111,-0.111111111,0
2022/9/20 15:58,597,113.14084,23.06654,0,597,0,0
2022/9/20 15:59,597,113.14084,23.06654,0,597,0,0
2022/9/20 16:00,597,113.14084,23.06654,0.02,597,0,0
2022/9/20 16:01,597,113.14084,23.06654,0,597,0,0
2022/9/20 16:02,597,113.14084,23.06654,0,597,0,0
2022/9/20 16:03,597,113.14084,23.06654,0,597,0,0
2022/9/20 16:04,597,113.14084,23.06654,0.02,597,0,0
2022/9/20 16:05,597,113.14084,23.06654,0,597,0,0
2022/9/20 16:06,597,113.14081,23.06658,0,597,0,0
2022/9/20 16:07,597,113.14081,23.06658,0.01,597,-0.333333333,0
2022/9/20 16:08,597,113.14081,23.06658,0.03,596.6666667,-0.333333333,0
2022/9/20 16:09,596,113.14081,23.06658,0,596.3333333,-0.333333333,0
2022/9/20 16:10,596,113.14081,23.06658,0,596,-2.111111111,0
2022/9/20 16:11,596,113.14081,23.06658,0,593.8888889,-2.111111111,0
2022/9/20 16:12,585,113.14077,23.06769,7.95,591.7777778,-2.111111111,0
2022/9/20 16:13,579,113.1424,23.06957,21.2,589.6666667,24.77777778,-1
2022/9/20 16:14,605,113.14597,23.0695,25.61,614.4444444,24.77777778,-1
2022/9/20 16:15,620,113.14776,23.06935,6.64,639.2222222,24.77777778,-1
2022/9/20 16:16,634,113.14776,23.06935,0,664,98.44444444,-1
2022/9/20 16:17,738,113.14781,23.06936,0.2,762.4444444,98.44444444,-1
2022/9/20 16:18,851,113.14782,23.06941,0,860.8888889,98.44444444,-1
2022/9/20 16:19,977,113.14782,23.06941,0,959.3333333,26.77777778,-1
2022/9/20 16:20,1050,113.14785,23.06945,0,986.1111111,26.77777778,-1
2022/9/20 16:21,1044,113.14785,23.06945,0.16,1012.888889,26.77777778,-1
2022/9/20 16:22,1039,113.14785,23.06945,0.28,1039.666667,-2.888888889,0
2022/9/20 16:23,1036,113.14789,23.06948,0.11,1036.777778,-2.888888889,0
2022/9/20 16:24,1033,113.14789,23.06948,0.16,1033.888889,-2.888888889,0
2022/9/20 16:25,1031,113.14789,23.06948,0.1,1031,-1.333333333,0
2022/9/20 16:26,1029,113.14789,23.06948,0,1029.666667,-1.333333333,0
2022/9/20 16:27,1028,113.14789,23.06948,0.19,1028.333333,-1.333333333,0
2022/9/20 16:28,1027,113.14785,23.06945,0.58,1027,-2.555555556,0
2022/9/20 16:29,1026,113.14785,23.06945,0.39,1024.444444,-2.555555556,0
2022/9/20 16:30,1025,113.14785,23.06945,0,1021.888889,-2.555555556,0
2022/9/20 16:31,1025,113.14785,23.06945,0,1019.333333,-2.222222222,0
2022/9/20 16:32,1008,113.149,23.06952,7.12,1017.111111,-2.222222222,0
2022/9/20 16:33,1018,113.14741,23.07007,15.54,1014.888889,-2.222222222,0
